title,description,category,priority,resolution
Intermittent connectivity on VLAN 20,We are seeing intermittent drops across the accounting floor. Syslog shows spanning-tree topology changes occurring every 30 seconds. Could you investigate the stack switches in the server room?,Network,High,Replaced a faulty SFP module in the core switch that was causing flap events on the trunk link.
File permission issues after migration,"I moved files from the old server to the new one, but now nobody can open the Excel sheets. It says 'Access Denied'. This is very frustrating as my team is blocked.",Storage,Medium,Corrected NTFS permission inheritance settings and re-applied the correct security groups to the top-level folder.
GitLab access issues,"I'm getting 403 Forbidden when trying to push code to our repo. My SSH key is set up correctly in the dashboard, but I think my user group membership was stripped during the migration to the new instance.",Access Management,Medium,Added the user to the 'Dev-Ops' GitLab group and ran a permissions sync to update the upstream repositories.
Data center flood in progress,"It's quite pleasant here, but there appears to be a minor trickle of water reaching the server floor. If you could eventually look into this, that would be lovely.",Storage,Critical,Stopped pipe leak and deployed industrial dehumidifiers. Moved mission-critical storage arrays to high-ground racks.
Guest Wi-Fi Down,"The Guest_Wifi is completely dead in the lobby again. I’ve already checked the WAP-Lobby-01 unit and the status light is just blinking amber, so it’s clearly failing. I tried restarting it through the controller, but that didn't do a single thing to fix it. Can someone please actually get this working?",Infrastructure,Low,Factory reset the WAP and re-provisioned via the WLAN controller; firmware updated to v8.4.2.
System-wide database crash,"It would be lovely if someone could take a look at the CRM when they have a spare moment. The entire company is currently unable to process any payments, but I know how busy you are, so no rush at all.",Application,Critical,Restored database connection strings and restarted the application pool to bring the CRM back online.
Account disabled prematurely,"My account was disabled this morning, but I am not leaving the company! Can you please check why? This is impacting my work.",Access Management,Critical,Discovered an accidental trigger in the HR-to-AD synchronization tool and restored the account status.
Lost company laptop,"I am so sorry to report this, but I left my work laptop in a taxi. It is definitely gone. I need to report this immediately so that no data is accessed.",Security,Critical,Issued a remote wipe command to the device via MDM and revoked all certificates associated with the hardware identifier.
Can't login to Adobe CC,"I'm signed in, but the apps (Photoshop and Illustrator) say I don't have a valid subscription on this machine. It worked yesterday on my Windows 10 desktop, but now it's acting up.",Access Management,Low,Logged the user out of all Adobe sessions and performed a fresh login to re-validate the license token.
WiFi intermittent on MacBook Pro,"My WiFi keeps dropping in the conference room. It's really frustrating because I'm in back-to-back meetings. macOS Monterey, hardware ID 88:E9:FE.",Network,Medium,Reset the network interface configuration and updated the wireless driver firmware.
Wireless card driver issue,My laptop is losing Wi-Fi connection constantly. The device manager says 'Intel Wi-Fi 6 AX200' has a code 10 error. I've restarted twice already.,Network,Medium,Performed a clean uninstall of the wireless driver and installed the latest manufacturer version.
Can't access the database,I'm getting an 'Access Denied' error when trying to run my migration script. I definitely have the right password. My workstation is running Ubuntu 22.04.,Database,Medium,Corrected LDAP group permissions mapping for the user's active directory account.
Guest Wi-Fi Down,The Guest_Wifi SSID is not broadcasting in the lobby. I checked the WAP-Lobby-01 unit and the status LED is blinking amber. Restarting the WAP via the controller didn't resolve the issue.,Infrastructure,Low,Factory reset the WAP and re-provisioned via the WLAN controller; firmware updated to v8.4.2.
Cannot map network drive S:,"Ever since the OS update to macOS Sonoma 14.2, I can no longer mount the S: drive using SMB. I get an 'Operation not permitted' error when attempting to connect to the server share. Please help.",Access Management,Medium,Updated the SMB mount string to use the newer DFS namespace path and refreshed the Kerberos ticket.
Application Deployment failure,"Tried to install the new proprietary accounting software, but it hangs at 84% during the configuration stage. Error code: 1603. I have administrative rights on my laptop.",Application,High,Removed leftover registry keys from a failed previous installation and ran the installer with full elevated privileges.
LUN masking visibility issue,"We added a new Linux host to the fabric, but it cannot see the assigned LUNs. The Zoning is correct on the Brocade switches, but the storage array doesn't show the WWN of the HBA as logged in.",Storage,High,Corrected the zoning configuration by adding the missing WWN alias to the specific fabric zone.
